Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class
SM(d38:2)_lp_b	SM 38:2;O2	756.6145	C43H85N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d38:4)_lp_b	SM 38:4;O2	752.5832	C43H81N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d39:1)_lp_b	SM 39:1;O2	772.6458	C44H89N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d39:2)_lp_a	SM 39:2;O2	770.6302	C44H87N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d39:2)_lp_b	SM 39:2;O2	770.6302	C44H87N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:0)	SM 40:0;O2	788.6771	C45H93N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:0-OH)	SM 40:0;O3	804.6720	C45H93N2O7P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:1)	SM 40:1;O2	786.6615	C45H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:1)_ln_b	SM 40:1;O2	786.6615	C45H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:1)_lp_b	SM 40:1;O2	786.6615	C45H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:1-OH)	SM 40:1;O3	802.6564	C45H91N2O7P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:2)	SM 40:2;O2	784.6458	C45H89N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:2)_ln_a	SM 40:2;O2	784.6458	C45H89N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:2)_ln_b	SM 40:2;O2	784.6458	C45H89N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:2)_lp_a	SM 40:2;O2	784.6458	C45H89N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d40:2)_lp_b	SM 40:2;O2	784.6458	C45H89N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d41:1)	SM 41:1;O2	800.6771	C46H93N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d41:2)_ln_bc	SM 41:2;O2	798.6615	C46H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d41:2)_lp_a	SM 41:2;O2	798.6615	C46H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d41:2)_lp_bc	SM 41:2;O2	798.6615	C46H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:0)_lp_a	SM 42:0;O2	816.7084	C47H97N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:1)_ln_b	SM 42:1;O2	814.6928	C47H95N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:1)_lp_b	SM 42:1;O2	814.6928	C47H95N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:2)	SM 42:2;O2	812.6771	C47H93N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:2)_ln_a	SM 42:2;O2	812.6771	C47H93N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:2)_ln_b	SM 42:2;O2	812.6771	C47H93N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:2)_lp_a	SM 42:2;O2	812.6771	C47H93N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:2)_lp_b	SM 42:2;O2	812.6771	C47H93N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:3)_ln_a	SM 42:3;O2	810.6615	C47H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d42:3)_lp_a	SM 42:3;O2	810.6615	C47H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d43:1)_ln_b	SM 43:1;O2	828.7084	C48H97N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d43:1)_lp_a	SM 43:1;O2	828.7084	C48H97N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d43:2)_lp_b	SM 43:2;O2	826.6928	C48H95N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d43:3)	SM 43:3;O2	824.6771	C48H93N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d44:1)	SM 44:1;O2	842.7241	C49H99N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d44:2)_ln_a	SM 44:2;O2	840.7084	C49H97N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d44:2)_lp_a	SM 44:2;O2	840.7084	C49H97N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d44:2)_lp_b	SM 44:2;O2	840.7084	C49H97N2O6P	Sphingolipids	Phosphosphingolipids	SM
SM(d44:3)	SM 44:3;O2	838.6928	C49H95N2O6P	Sphingolipids	Phosphosphingolipids	SM
Sarcosine	Sarcosine	89.0477	C3H7NO2	Organic acids	Amino acids and peptides	Amino acids
Ser-Leu	Ser-Leu	218.1267	C9H18N2O4	Organic acids	Amino acids and peptides	Dipeptides
Serine	Serine	105.0426	C3H7NO3	Organic acids	Amino acids and peptides	Amino acids
Sitosterol Ester(20:4)_lp_c	Sitosterol Ester 20:4	700.6158	C49H80O2	Sterol Lipids	Sterol esters	Chol. esters
Succinic acid	Succinic acid	118.0266	C4H6O4	Organic acids	TCA acids	TCA acids
TG(4:0_14:0_16:0)_lp_c	TG 4:0_14:0_16:0	610.5172	C37H70O6	Glycerolipids	Triradylglycerols	TG
TG(4:0_16:0_16:0)_lp_d	TG 4:0_16:0_16:0	638.5485	C39H74O6	Glycerolipids	Triradylglycerols	TG
TG(36:1)_lp_d	TG 36:1	636.5329	C39H72O6	Glycerolipids	Triradylglycerols	TG
TG(2:0_16:0_18:2)_lp_d	TG 2:0_16:0_18:2	634.5172	C39H70O6	Glycerolipids	Triradylglycerols	TG
TG(38:0)_lp_c	TG 38:0	666.5798	C41H78O6	Glycerolipids	Triradylglycerols	TG
TG(4:0_16:0_18:1)_lp_b	TG 4:0_16:0_18:1	664.5642	C41H76O6	Glycerolipids	Triradylglycerols	TG
TG(4:0_16:0_18:1)_lp_c	TG 4:0_16:0_18:1	664.5642	C41H76O6	Glycerolipids	Triradylglycerols	TG
TG(38:2)_lp_c	TG 38:2	662.5485	C41H74O6	Glycerolipids	Triradylglycerols	TG
TG(2:0_18:1_18:2)_lp_b	TG 2:0_18:1_18:2	660.5329	C41H72O6	Glycerolipids	Triradylglycerols	TG
TG(2:0_18:2_18:2)	TG 2:0_18:2_18:2	658.5172	C41H70O6	Glycerolipids	Triradylglycerols	TG
TG(40:1)_lp_b	TG 40:1	692.5955	C43H80O6	Glycerolipids	Triradylglycerols	TG
TG(40:1)_lp_c	TG 40:1	692.5955	C43H80O6	Glycerolipids	Triradylglycerols	TG
TG(4:0_18:1_18:1)_lp_b	TG 4:0_18:1_18:1	690.5798	C43H78O6	Glycerolipids	Triradylglycerols	TG
TG(4:0_18:1_18:1)_lp_c	TG 4:0_18:1_18:1	690.5798	C43H78O6	Glycerolipids	Triradylglycerols	TG
TG(4:0_18:1_18:2)_lp_b	TG 4:0_18:1_18:2	688.5642	C43H76O6	Glycerolipids	Triradylglycerols	TG
TG(4:0_18:2_18:2)_lp_a	TG 4:0_18:2_18:2	686.5485	C43H74O6	Glycerolipids	Triradylglycerols	TG
TG(42:0)	TG 42:0	722.6424	C45H86O6	Glycerolipids	Triradylglycerols	TG
TG(42:1)_lp_a	TG 42:1	720.6268	C45H84O6	Glycerolipids	Triradylglycerols	TG
TG(42:3)_lp_b	TG 42:3	716.5955	C45H80O6	Glycerolipids	Triradylglycerols	TG
TG(42:5)_lp_b	TG 42:5	712.5642	C45H76O6	Glycerolipids	Triradylglycerols	TG
TG(10:0_16:0_18:1)_lp_c	TG 10:0_16:0_18:1	748.6581	C47H88O6	Glycerolipids	Triradylglycerols	TG
TG(10:0_16:1_18:1)_lp_b	TG 10:0_16:1_18:1	746.6424	C47H86O6	Glycerolipids	Triradylglycerols	TG
TG(46:0)	TG 46:0	778.7050	C49H94O6	Glycerolipids	Triradylglycerols	TG
TG(46:1)_lp_a	TG 46:1	776.6894	C49H92O6	Glycerolipids	Triradylglycerols	TG
TG(46:1)_lp_b	TG 46:1	776.6894	C49H92O6	Glycerolipids	Triradylglycerols	TG
TG(46:2)_lp_b	TG 46:2	774.6737	C49H90O6	Glycerolipids	Triradylglycerols	TG
TG(46:3)	TG 46:3	772.6581	C49H88O6	Glycerolipids	Triradylglycerols	TG
TG(10:0_18:2_18:2)	TG 10:0_18:2_18:2	770.6424	C49H86O6	Glycerolipids	Triradylglycerols	TG
TG(48:0)	TG 48:0	806.7363	C51H98O6	Glycerolipids	Triradylglycerols	TG
TG(48:1)_lp_c	TG 48:1	804.7207	C51H96O6	Glycerolipids	Triradylglycerols	TG
TG(48:2)_lp_c	TG 48:2	802.7050	C51H94O6	Glycerolipids	Triradylglycerols	TG
TG(48:23)_lp_b	TG 48:23*	760.3764	C51H52O6	Glycerolipids	Triradylglycerols	TAG
TG(12:0_18:2_18:2)_lp_b	TG 12:0_18:2_18:2	798.6737	C51H90O6	Glycerolipids	Triradylglycerols	TG
TG(49:0)	TG 49:0	820.7520	C52H100O6	Glycerolipids	Triradylglycerols	TG
TG(49:1)	TG 49:1	818.7363	C52H98O6	Glycerolipids	Triradylglycerols	TG
TG(49:2)_lp_c	TG 49:2	816.7207	C52H96O6	Glycerolipids	Triradylglycerols	TG
TG(49:3)_lp_b	TG 49:3	814.7050	C52H94O6	Glycerolipids	Triradylglycerols	TG
TG(49:4)	TG 49:4	812.6894	C52H92O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_16:0_18:0)_lp_c	TG 16:0_16:0_18:0	834.7676	C53H102O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_16:0_18:1)_lp_d	TG 16:0_16:0_18:1	832.7520	C53H100O6	Glycerolipids	Triradylglycerols	TG
TG(50:2)_lp_c	TG 50:2	830.7363	C53H98O6	Glycerolipids	Triradylglycerols	TG
TG(50:3)_lp_a	TG 50:3	828.7207	C53H96O6	Glycerolipids	Triradylglycerols	TG
TG(50:3)_lp_c	TG 50:3	828.7207	C53H96O6	Glycerolipids	Triradylglycerols	TG
TG(50:4)_lp_b	TG 50:4	826.7050	C53H94O6	Glycerolipids	Triradylglycerols	TG
TG(50:5)_lp_b	TG 50:5	824.6894	C53H92O6	Glycerolipids	Triradylglycerols	TG
TG(51:0)_lp_a	TG 51:0	848.7833	C54H104O6	Glycerolipids	Triradylglycerols	TG
TG(51:0)_lp_b	TG 51:0	848.7833	C54H104O6	Glycerolipids	Triradylglycerols	TG
TG(51:2)_lp_b	TG 51:2	844.7520	C54H100O6	Glycerolipids	Triradylglycerols	TG
TG(51:3)_lp_c	TG 51:3	842.7363	C54H98O6	Glycerolipids	Triradylglycerols	TG
TG(51:4)	TG 51:4	840.7207	C54H96O6	Glycerolipids	Triradylglycerols	TG
TG(51:5)_lp_b	TG 51:5	838.7050	C54H94O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_16:0_20:0)_lp_c	TG 16:0_16:0_20:0	862.7989	C55H106O6	Glycerolipids	Triradylglycerols	TG
TG(52:1)_lp_c	TG 52:1	860.7833	C55H104O6	Glycerolipids	Triradylglycerols	TG
TG(52:1)_lp_a	TG 52:1	860.7833	C55H104O6	Glycerolipids	Triradylglycerols	TG
TG(52:1)_lp_b	TG 52:1	860.7833	C55H104O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_18:1_18:1)_lp_c	TG 16:0_18:1_18:1	858.7676	C55H102O6	Glycerolipids	Triradylglycerols	TG
TG(52:2)_lp_e	TG 52:2	858.7676	C55H102O6	Glycerolipids	Triradylglycerols	TG
TG(52:2)_lp_f	TG 52:2	858.7676	C55H102O6	Glycerolipids	Triradylglycerols	TG
TG(52:3)_lp_b	TG 52:3	856.7520	C55H100O6	Glycerolipids	Triradylglycerols	TG
TG(52:3)_lp_d	TG 52:3	856.7520	C55H100O6	Glycerolipids	Triradylglycerols	TG
TG(52:4)_lp_f	TG 52:4	854.7363	C55H98O6	Glycerolipids	Triradylglycerols	TG
TG(16:1_18:1_18:2)_lp_e	TG 16:1_18:1_18:2	854.7363	C55H98O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_18:2_18:3)_lp_e	TG 16:0_18:2_18:3	852.7207	C55H96O6	Glycerolipids	Triradylglycerols	TG
TG(16:1_18:2_18:2)_lp_d	TG 16:1_18:2_18:2	852.7207	C55H96O6	Glycerolipids	Triradylglycerols	TG
TG(52:6)_lp_c	TG 52:6	850.7050	C55H94O6	Glycerolipids	Triradylglycerols	TG
TG(52:7)_lp_b	TG 52:7	848.6894	C55H92O6	Glycerolipids	Triradylglycerols	TG
TG(53:1)_lp_d	TG 53:1	874.7989	C56H106O6	Glycerolipids	Triradylglycerols	TG
TG(53:2)_lp_c	TG 53:2	872.7833	C56H104O6	Glycerolipids	Triradylglycerols	TG
TG(53:2)_lp_d	TG 53:2	872.7833	C56H104O6	Glycerolipids	Triradylglycerols	TG
TG(53:3)_lp_a	TG 53:3	870.7676	C56H102O6	Glycerolipids	Triradylglycerols	TG
TG(53:3)_lp_d	TG 53:3	870.7676	C56H102O6	Glycerolipids	Triradylglycerols	TG
TG(53:3)_lp_e	TG 53:3	870.7676	C56H102O6	Glycerolipids	Triradylglycerols	TG
TG(53:4)_lp_b	TG 53:4	868.7520	C56H100O6	Glycerolipids	Triradylglycerols	TG
TG(53:4)_lp_c	TG 53:4	868.7520	C56H100O6	Glycerolipids	Triradylglycerols	TG
TG(17:1_18:2_18:2)_lp_a	TG 17:1_18:2_18:2	866.7363	C56H98O6	Glycerolipids	Triradylglycerols	TG
TG(53:6)_lp_a	TG 53:6	864.7207	C56H96O6	Glycerolipids	Triradylglycerols	TG
TG(53:6)_lp_b	TG 53:6	864.7207	C56H96O6	Glycerolipids	Triradylglycerols	TG
TG(54:1)_lp_d	TG 54:1	888.8146	C57H108O6	Glycerolipids	Triradylglycerols	TG
TG(54:1)_lp_a	TG 54:1	888.8146	C57H108O6	Glycerolipids	Triradylglycerols	TG
TG(54:2)_lp_d	TG 54:2	886.7989	C57H106O6	Glycerolipids	Triradylglycerols	TG
TG(54:3)_lp_i	-					
TG(54:3)_lp_h	-					
TG(18:1_18:1_18:1)_lp_e	TG 18:1/18:1/18:1	884.7833	C57H104O6	Glycerolipids	Triradylglycerols	TG
TG(18:1_18:1_18:2)_lp_d	TG 18:1_18:1_18:2	882.7676	C57H102O6	Glycerolipids	Triradylglycerols	TG
TG(54:4)_lp_f	TG 54:4	882.7676	C57H102O6	Glycerolipids	Triradylglycerols	TG
TG(18:1_18:2_18:2)_lp_d	TG 18:1_18:2_18:2	880.7520	C57H100O6	Glycerolipids	Triradylglycerols	TG
TG(54:5)_lp_e	TG 54:5	880.7520	C57H100O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_16:0_22:6)_lp_f	TG 16:0_16:0_22:6	878.7363	C57H98O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_18:2_20:4)_lp_e	TG 16:0_18:2_20:4	878.7363	C57H98O6	Glycerolipids	Triradylglycerols	TG
TG(54:6)_lp_a	TG 54:6	878.7363	C57H98O6	Glycerolipids	Triradylglycerols	TG
TG(54:6)_lp_b	TG 54:6	878.7363	C57H98O6	Glycerolipids	Triradylglycerols	TG
TG(54:6)_lp_d	TG 54:6	878.7363	C57H98O6	Glycerolipids	Triradylglycerols	TG
TG(54:7)_lp_d	TG 54:7	876.7207	C57H96O6	Glycerolipids	Triradylglycerols	TG
TG(18:2_18:2_18:3)_lp_b	TG 18:2_18:2_18:3	876.7207	C57H96O6	Glycerolipids	Triradylglycerols	TG
TG(54:8)_lp_a	TG 54:8	874.7050	C57H94O6	Glycerolipids	Triradylglycerols	TG
TG(54:8)_lp_c	TG 54:8	874.7050	C57H94O6	Glycerolipids	Triradylglycerols	TG
TG(55:1)_lp_b	TG 55:1	902.8302	C58H110O6	Glycerolipids	Triradylglycerols	TG
TG(55:2)_lp_b	TG 55:2	900.8146	C58H108O6	Glycerolipids	Triradylglycerols	TG
TG(55:3)_lp_c	TG 55:3	898.7989	C58H106O6	Glycerolipids	Triradylglycerols	TG
TG(55:4)_lp_a	TG 55:4	896.7833	C58H104O6	Glycerolipids	Triradylglycerols	TG
TG(55:4)_lp_b	TG 55:4	896.7833	C58H104O6	Glycerolipids	Triradylglycerols	TG
TG(55:4)_lp_c	TG 55:4	896.7833	C58H104O6	Glycerolipids	Triradylglycerols	TG
TG(55:5)_lp_a	TG 55:5	894.7676	C58H102O6	Glycerolipids	Triradylglycerols	TG
TG(55:5)_lp_b	TG 55:5	894.7676	C58H102O6	Glycerolipids	Triradylglycerols	TG
TG(55:5)_lp_d	TG 55:5	894.7676	C58H102O6	Glycerolipids	Triradylglycerols	TG
TG(55:6)_lp_b	TG 55:6	892.7520	C58H100O6	Glycerolipids	Triradylglycerols	TG
TG(55:7)_lp_b	TG 55:7	890.7363	C58H98O6	Glycerolipids	Triradylglycerols	TG
TG(56:1)_lp_a	TG 56:1	916.8459	C59H112O6	Glycerolipids	Triradylglycerols	TG
TG(56:1)_lp_b	TG 56:1	916.8459	C59H112O6	Glycerolipids	Triradylglycerols	TG
TG(56:2)_lp_d	TG 56:2	914.8302	C59H110O6	Glycerolipids	Triradylglycerols	TG
TG(56:3)_lp_e	TG 56:3	912.8146	C59H108O6	Glycerolipids	Triradylglycerols	TG
TG(56:4)_lp_e	TG 56:4	910.7989	C59H106O6	Glycerolipids	Triradylglycerols	TG
TG(56:4)_lp_f	TG 56:4	910.7989	C59H106O6	Glycerolipids	Triradylglycerols	TG
TG(56:4)_lp_b	TG 56:4	910.7989	C59H106O6	Glycerolipids	Triradylglycerols	TG
TG(56:4)_lp_d	TG 56:4	910.7989	C59H106O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_18:1_22:4)_lp_a	TG 16:0_18:1_22:4	908.7833	C59H104O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_18:1_22:4)_lp_c	TG 16:0_18:1_22:4	908.7833	C59H104O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_18:1_22:4)_lp_d	TG 16:0_18:1_22:4	908.7833	C59H104O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_18:1_22:4)_lp_e	TG 16:0_18:1_22:4	908.7833	C59H104O6	Glycerolipids	Triradylglycerols	TG
TG(56:6)_lp_c	TG 56:6	906.7676	C59H102O6	Glycerolipids	Triradylglycerols	TG
TG(56:6)_lp_d	TG 56:6	906.7676	C59H102O6	Glycerolipids	Triradylglycerols	TG
TG(56:6)_lp_e	TG 56:6	906.7676	C59H102O6	Glycerolipids	Triradylglycerols	TG
TG(16:0_18:1_22:6)_lp_f	TG 16:0_18:1_22:6	904.7520	C59H100O6	Glycerolipids	Triradylglycerols	TG
TG(56:7)_lp_c	TG 56:7	904.7520	C59H100O6	Glycerolipids	Triradylglycerols	TG
TG(56:7)_lp_e	TG 56:7	904.7520	C59H100O6	Glycerolipids	Triradylglycerols	TG
TG(18:2_18:2_20:4)_lp_c	TG 18:2_18:2_20:4	902.7363	C59H98O6	Glycerolipids	Triradylglycerols	TG
TG(56:8)_lp_e	TG 56:8	902.7363	C59H98O6	Glycerolipids	Triradylglycerols	TG
TG(56:9)_lp_b	TG 56:9	900.7207	C59H96O6	Glycerolipids	Triradylglycerols	TG
TG(57:1)	TG 57:1	930.8615	C60H114O6	Glycerolipids	Triradylglycerols	TG
TG(57:2)	TG 57:2	928.8459	C60H112O6	Glycerolipids	Triradylglycerols	TG
TG(57:3)_lp_b	TG 57:3	926.8302	C60H110O6	Glycerolipids	Triradylglycerols	TG
TG(58:10)_lp_b	TG 58:10	926.7363	C61H98O6	Glycerolipids	Triradylglycerols	TG
TG(58:10)_lp_c	TG 58:10	926.7363	C61H98O6	Glycerolipids	Triradylglycerols	TG
TG(58:11)_lp_a	TG 58:11	924.7207	C61H96O6	Glycerolipids	Triradylglycerols	TG
TG(58:2)_lp_d	TG 58:2	942.8615	C61H114O6	Glycerolipids	Triradylglycerols	TG
TG(58:3)_lp_c	TG 58:3	940.8459	C61H112O6	Glycerolipids	Triradylglycerols	TG
TG(58:4)_lp_e	TG 58:4	938.8302	C61H110O6	Glycerolipids	Triradylglycerols	TG
TG(58:4)_lp_g	-					
TG(58:5)_lp_e	TG 58:5	936.8146	C61H108O6	Glycerolipids	Triradylglycerols	TG
TG(58:6)_lp_d	TG 58:6	934.7989	C61H106O6	Glycerolipids	Triradylglycerols	TG
TG(58:7)_lp_a	TG 58:7	932.7833	C61H104O6	Glycerolipids	Triradylglycerols	TG
TG(58:7)_lp_c	TG 58:7	932.7833	C61H104O6	Glycerolipids	Triradylglycerols	TG
TG(58:7)_lp_e	TG 58:7	932.7833	C61H104O6	Glycerolipids	Triradylglycerols	TG
TG(18:2_18:2_22:4)_lp_d	TG 18:2_18:2_22:4	930.7676	C61H102O6	Glycerolipids	Triradylglycerols	TG
TG(58:8)_lp_b	TG 58:8	930.7676	C61H102O6	Glycerolipids	Triradylglycerols	TG
TG(58:8)_lp_e	TG 58:8	930.7676	C61H102O6	Glycerolipids	Triradylglycerols	TG
TG(58:9)_lp_b	TG 58:9	928.7520	C61H100O6	Glycerolipids	Triradylglycerols	TG
TG(58:9)_lp_c	TG 58:9	928.7520	C61H100O6	Glycerolipids	Triradylglycerols	TG
TG(60:10)_lp_c	TG 60:10	954.7676	C63H102O6	Glycerolipids	Triradylglycerols	TG
TG(60:10)_lp_d	TG 60:10	954.7676	C63H102O6	Glycerolipids	Triradylglycerols	TG
TG(60:3)_lp_b	TG 60:3	968.8772	C63H116O6	Glycerolipids	Triradylglycerols	TG
TG(60:4)_lp_b	TG 60:4	966.8615	C63H114O6	Glycerolipids	Triradylglycerols	TG
TXB2	TXB2	370.2355	C20H34O6	Fatty Acyls	Eicosanoids	Thromboxanes
Taurine	Taurine	125.0147	C2H7NO3S	Organic acids	Sulfonic acids	Sulfonic acids
Threonine	Threonine	119.0582	C4H9NO3	Organic acids	Amino acids and peptides	Amino acids
Tryptophan	Tryptophan	204.0899	C11H12N2O2	Organic acids	Amino acids and peptides	Amino acids
Tyrosine	Tyrosine	181.0739	C9H11NO3	Organic acids	Amino acids and peptides	Amino acids
UDP	UDP	404.0022	C9H14N2O12P2	Nucleic acids	Pyrimidines	Pyrimidine rNDP
UDP-N-acetylglucosamine	UDP-N-acetylglucosamine	607.0816	C17H27N3O17P2	Nucleic acids	Pyrimidines	Pyrimidine rNDP
UDP-glucose	UDP-glucose	566.0550	C15H24N2O17P2	Nucleic acids	Pyrimidines	Pyrimidine rNDP
UDP-glucuronic acid	UDP-glucuronic acid	580.0343	C15H22N2O18P2	Nucleic acids	Pyrimidines	Pyrimidine rNDP
UMP	UMP	324.0359	C9H13N2O9P	Nucleic acids	Pyrimidines	Pyrimidine rNMP
UTP	UTP	483.9685	C9H15N2O15P3	Nucleic acids	Pyrimidines	Pyrimidine rNTP
Ubiquinol Q10	Coenzyme Q10	862.6839	C59H90O4	Prenol Lipids	Quinones and hydroquinones	Ubiquinones
Valine	Valine	117.0790	C5H11NO2	Organic acids	Amino acids and peptides	Amino acids
Acetylcholine	Acetylcholine	146.1181	C7H16NO2	Organic nitrogen compounds	Cholines	Acyl cholines
Acetylphosphate	Acetylphosphate	139.9875	C2H5O5P	Organic acids	Organic phosphoric acids	Phosphate esters
Acisoga	Acisoga	184.1212	C9H16N2O2	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids
Adenosine	Adenosine	267.0968	C10H13N5O4	Nucleic acids	Purines	Purine ribonucleosides
Ala-Ala	Ala-Ala	160.0848	C6H12N2O3	Organic acids	Amino acids and peptides	Dipeptides
Allantoin	Allantoin	158.0440	C4H6N4O3	Organoheterocyclic compounds	Ureas	Ureides
2-Aminobutyric acid	2-Aminobutyric acid	103.0633	C4H9NO2	Organic acids	Amino acids and peptides	Amino acids
Aminoadipic acid	Aminoadipic acid	161.0688	C6H11NO4	Organic acids	Amino acids and peptides	Amino acids
sn-Glycero-3-phosphocholine	sn-Glycero-3-phosphocholine	257.1028	C8H20NO6P	Organic acids	Organic phosphoric acids	Organic phosphoric acids
alpha-Muricholic acid	alpha-Muricholic acid	408.2876	C24H40O5	Sterol Lipids	Bile acids	C24 Bile acids
alpha-Tocopherol	alpha-Tocopherol	430.3811	C29H50O2	Prenol Lipids	Quinones and hydroquinones	Vitamin E
Aminobutyric acid	Aminobutyric acid	103.0633	C4H9NO2	Fatty Acyls	Fatty acids	Amino FA
Eicosanoyl-EA	Eicosanoyl-EA	355.3450	C22H45NO2	Fatty Acyls	Fatty amides	NAE
Benzyl butyl phthalate	Benzyl butyl phthalate	312.1362	C19H20O4	Polyketides	Phenolic acids	Phenolic acids
beta-Alanine	beta-Alanine	89.0477	C3H7NO2	Organic acids	Amino acids and peptides	Amino acids
3-Guanidinopropanoic acid	3-Guanidinopropanoic acid	131.0695	C4H9N3O2	Organic nitrogen compounds	Guanidines	Guanidines
beta-Muricholic acid	beta-Muricholic acid	408.2876	C24H40O5	Sterol Lipids	Bile acids	C24 Bile acids
Betaine	Betaine	117.0790	C5H11NO2	Organic acids	Amino acids and peptides	Amino acids
Biliverdin	Biliverdin	582.2478	C33H34N4O6	Organoheterocyclic compounds	Bilirubins	Bilirubins
Biopterin	Biopterin	237.0862	C9H11N5O3	Organoheterocyclic compounds	Pterins	Biopterins
bis(2-Ethylhexyl)phthalic acid	bis(2-Ethylhexyl)phthalic acid	390.2770	C24H38O4	Benzenoids	Benzenes	Phthalic acids
3-Dehydroxycarnitine	3-Dehydroxycarnitine	145.1103	C7H15NO2	Fatty Acyls	Fatty esters	Acyl carnitines
Cadaverine	Cadaverine	102.1157	C5H14N2	Fatty Acyls	Fatty amines	Monoalkylamines
Carnitine	Carnitine	161.1052	C7H15NO3	Organic nitrogen compounds	Carnitines	Carnitines
Chenodeoxycholic acid	Chenodeoxycholic acid	392.2927	C24H40O4	Sterol Lipids	Bile acids	C24 Bile acids
Cholic acid	Cholic acid	408.2876	C24H40O5	Sterol Lipids	Bile acids	C24 Bile acids
Cholesterol	Cholesterol	386.3549	C27H46O	Sterol Lipids	Sterols	Cholesterols
Choline	Choline	104.1075	C5H14NO	Organic nitrogen compounds	Cholines	Cholines
cis-Aconitic acid	cis-Aconitic acid	174.0164	C6H6O6	Organic acids	TCA acids	TCA acids
Citric acid/Isocitric acid	Citric acid/Isocitric acid	192.0270	C6H8O7	Organic acids	TCA acids	TCA acids
coenzyme(Q8)	Coenzyme Q8	726.5587	C49H74O4	Prenol Lipids	Quinones and hydroquinones	Ubiquinones
Cortisol	Cortisol	362.2093	C21H30O5	Sterol Lipids	Steroids	C21 Steroids
Creatine	Creatine	131.0695	C4H9N3O2	Organic acids	Amino acids and peptides	Amino acids
Creatinine	Creatinine	113.0589	C4H7N3O	Organoheterocyclic compounds	Azoles	Imidazolines
Cyclohexylamine	Cyclohexylamine	99.1048	C6H13N	Organic nitrogen compounds	Cyclohexylamines	Cyclohexylamines
Cystine	Cystine	240.0239	C6H12N2O4S2	Organic acids	Amino acids and peptides	Amino acids
Cytidine	Cytidine	243.0855	C9H13N3O5	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides
Deoxycholic acid	Deoxycholic acid	392.2927	C24H40O4	Sterol Lipids	Bile acids	C24 Bile acids
Deoxyguanosine	Deoxyguanosine	267.0968	C10H13N5O4	Nucleic acids	Purines	Purine deoxyribonucleosides
Deoxyuridine	Deoxyuridine	228.0746	C9H12N2O5	Nucleic acids	Pyrimidines	Pyrimidine deoxyribonucleosides
Diethyl phthalate	Diethyl phthalate	222.0892	C12H14O4	Polyketides	Phenolic acids	Phenolic acids
Dihydroxyacetone phosphate	Dihydroxyacetone phosphate	169.9980	C3H7O6P	Organic acids	Short-chain acids	Short-chain acids
