Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class
PE(O-36:4)_lp_b	PE O-36:4	725.5359	C41H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:4)_ln_c	PE O-36:4	725.5359	C41H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:4)_lp_c	PE O-36:4	725.5359	C41H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:4)_lp_d	PE O-36:4	725.5359	C41H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:4)_ln_a	PE O-36:4	725.5359	C41H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-36:4)_lp_a	PE O-36:4	725.5359	C41H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-16:1/20:4)_ln_c	PE O-16:1/20:4	723.5203	C41H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-16:1/20:4)_lp_c	PE O-16:1/20:4	723.5203	C41H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-37:5)_lp_a	PE O-37:5	737.5359	C42H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-37:5)_lp_b	PE O-37:5	737.5359	C42H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:2)_ln_d	PE O-38:2	757.5985	C43H84NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:2)_lp_d	PE O-38:2	757.5985	C43H84NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:2/20:1)_ln_b	PE O-18:2/20:1	755.5829	C43H82NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:2/20:1)_lp_c	PE O-18:2/20:1	755.5829	C43H82NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-16:0/22:4)_ln_c	PE O-16:0/22:4	753.5672	C43H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:4)_lp_c	PE O-38:4	753.5672	C43H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:4)_lp_d	PE O-38:4	753.5672	C43H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:4)_ln_e	PE O-38:4	753.5672	C43H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:4)_lp_e	PE O-38:4	753.5672	C43H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-16:1/22:4)_ln_e	PE O-16:1/22:4	751.5516	C43H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-16:1/22:4)_lp_e	PE O-16:1/22:4	751.5516	C43H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/20:4)_ln_c	PE O-18:1/20:4	751.5516	C43H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/20:4)_ln_f	PE O-18:1/20:4	751.5516	C43H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/20:4)_lp_f	PE O-18:1/20:4	751.5516	C43H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:5)_lp_a	PE O-38:5	751.5516	C43H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:5)_lp_c	PE O-38:5	751.5516	C43H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-16:1/22:5)_ln_c	PE O-16:1/22:5	749.5359	C43H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:6)_ln_b	PE O-38:6	749.5359	C43H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:6)_lp_b	PE O-38:6	749.5359	C43H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:7)_ln_b	PE O-38:7	747.5203	C43H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-16:1/22:6)_lp_b	PE O-16:1/22:6	747.5203	C43H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-38:7)_ln_a	PE O-38:7	747.5203	C43H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-16:1_20:4)_ln_d	PE O-16:1/20:4	723.5203	C41H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-39:5)_ln_a	PE O-39:5	765.5672	C44H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-39:5)_ln_b	PE O-39:5	765.5672	C44H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-39:5)_ln_c	PE O-39:5	765.5672	C44H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:0/22:4)_ln_d	PE O-18:0/22:4	781.5985	C45H84NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:4)_lp_d	PE O-40:4	781.5985	C45H84NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:4)_lp_e	PE O-40:4	781.5985	C45H84NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:4)_lp_a	PE O-18:1/22:4	779.5829	C45H82NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:4)_lp_c	PE O-18:1/22:4	779.5829	C45H82NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:4)_ln_d	PE O-18:1/22:4	779.5829	C45H82NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:4)_lp_d	PE O-18:1/22:4	779.5829	C45H82NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:4)_lp_e	PE O-18:1/22:4	779.5829	C45H82NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:5)_ln_c	PE O-18:1/22:5	777.5672	C45H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:5)_lp_c	PE O-18:1/22:5	777.5672	C45H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:5)_ln_e	PE O-18:1/22:5	777.5672	C45H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-18:1/22:5)_lp_e	PE O-18:1/22:5	777.5672	C45H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:6)_ln_b	PE O-40:6	777.5672	C45H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:6)_lp_b	PE O-40:6	777.5672	C45H80NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:7)_ln_j	-					
PE(O-18:1/22:6)_lp_g	-					
PE(O-40:7)_lp_c	PE O-40:7	775.5516	C45H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:7)_lp_d	PE O-40:7	775.5516	C45H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:8)_lp_b	PE O-40:8	773.5359	C45H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-40:8)_ln_b	PE O-40:8	773.5359	C45H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-20:1/22:4)_ln_b	PE O-20:1/22:4	807.6142	C47H86NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-42:6)_ln_b	PE O-42:6	805.5985	C47H84NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(O-42:6)_lp_b	PE O-42:6	805.5985	C47H84NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PG(30:0)	PG 30:0	694.4785	C36H71O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(16:0/16:0)	PG 16:0/16:0	722.5098	C38H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(16:0_18:1)	PG 16:0_18:1	748.5254	C40H77O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(16:0_18:2)	PG 16:0_18:2	746.5098	C40H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(36:2)_ln_a	PG 36:2	774.5411	C42H79O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(36:2)_ln_b	PG 36:2	774.5411	C42H79O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(36:2)	PG 36:2	774.5411	C42H79O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(16:0_20:4)_ln_c	PG 16:0_20:4	770.5098	C42H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:2_18:2)_ln_a	PG 18:2/18:2	770.5098	C42H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:2_18:2)_ln_b	PG 18:2/18:2	770.5098	C42H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(36:4)_lp_c	PG 36:4	770.5098	C42H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(16:0_20:5)_ln_b	PG 16:0_20:5	768.4941	C42H73O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(16:0_22:4)_ln_b	PG 16:0_22:4	798.5411	C44H79O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:0_20:4)_lp_b	PG 18:0_20:4	798.5411	C44H79O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:0_20:4)_ln_c	PG 18:0_20:4	798.5411	C44H79O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:1_20:4)_ln_b	PG 18:1_20:4	796.5254	C44H77O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:1_20:4)_ln_a	PG 18:1_20:4	796.5254	C44H77O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(38:5)_lp_b	PG 38:5	796.5254	C44H77O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(38:5)_lp_c	PG 38:5	796.5254	C44H77O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(16:0_22:6)_lp_b	PG 16:0_22:6	794.5098	C44H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:2_20:4)_ln_a	PG 18:2_20:4	794.5098	C44H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:0_22:6)_ln_b	PG 18:0_22:6	822.5411	C46H79O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(18:1_22:6)_ln_a	PG 18:1_22:6	820.5254	C46H77O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(40:7)_lp_b	PG 40:7	820.5254	C46H77O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(40:8)_ln_a	PG 40:8	818.5098	C46H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PG(22:6/22:6)	PG 22:6/22:6	866.5098	C50H75O10P	Glycerophospholipids	Glycerophosphoglycerols	PG
PGE2	PGE2	352.2250	C20H32O5	Fatty Acyls	Eicosanoids	Prostaglandins
PGF2alpha	PGF2alpha	354.2406	C20H34O5	Fatty Acyls	Eicosanoids	Prostaglandins
PI(16:0_18:2)	PI 16:0_18:2	834.5258	C43H79O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(34:2)	PI 34:2	834.5258	C43H79O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(18:0_18:1)	PI 18:0_18:1	864.5728	C45H85O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(18:0_18:2)_ln_b	PI 18:0_18:2	862.5571	C45H83O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(36:2)_ln_a	PI 36:2	862.5571	C45H83O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(18:1_18:2)_ln_a	PI 18:1_18:2	860.5415	C45H81O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(36:3)_lp_a	PI 36:3	860.5415	C45H81O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(16:0_20:4)	PI 16:0_20:4	858.5258	C45H79O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(18:0_20:4)_ln_b	PI 18:0_20:4	886.5571	C47H83O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(18:1_20:4)_ln_a	PI 18:1_20:4	884.5415	C47H81O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(18:1_20:4)_lp_a	PI 18:1_20:4	884.5415	C47H81O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(16:0_22:6)	PI 16:0_22:6	882.5258	C47H79O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(18:0_22:4)	PI 18:0_22:4	914.5884	C49H87O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PI(18:0_22:5)_lp_a	PI 18:0_22:5	912.5728	C49H85O13P	Glycerophospholipids	Glycerophosphoinositols	PI
PS(16:0_18:0)	PS 16:0_18:0	763.5363	C40H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_18:1)	PS 18:0_18:1	789.5520	C42H80NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_18:2)_ln_d	PS 18:0_18:2	787.5363	C42H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(36:2)_lp_d	PS 36:2	787.5363	C42H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(38:2)	PS 38:2	815.5676	C44H82NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(38:3)_ln_c	PS 38:3	813.5520	C44H80NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(38:3)_lp_c	PS 38:3	813.5520	C44H80NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_20:4)_ln_b	PS 18:0_20:4	811.5363	C44H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_20:4)_lp_b	PS 18:0_20:4	811.5363	C44H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_20:4)_ln_e	PS 18:0_20:4	811.5363	C44H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:1/20:4)	PS 18:1/20:4	809.5207	C44H76NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(38:5)	PS 38:5	809.5207	C44H76NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_22:4)	PS 18:0_22:4	839.5676	C46H82NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:4)	PS 40:4	839.5676	C46H82NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_22:5)_ln_b	PS 18:0_22:5	837.5520	C46H80NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_22:5)_ln_e	PS 18:0_22:5	837.5520	C46H80NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:5)_lp_a	PS 40:5	837.5520	C46H80NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:5)_lp_b	PS 40:5	837.5520	C46H80NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_22:6)_ln_b	PS 18:0_22:6	835.5363	C46H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(18:0_22:6)_ln_c	PS 18:0_22:6	835.5363	C46H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:6)_lp_c	PS 40:6	835.5363	C46H78NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:7)	PS 40:7	833.5207	C46H76NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(40:8)_lp_a	PS 40:8	831.5050	C46H74NO10P	Glycerophospholipids	Glycerophosphoserines	PS
PS(O-18:3/22:4)	PS O-18:3/22:4	819.5414	C46H78NO9P	Glycerophospholipids	Glycerophosphoserines	O-PS
PS(O-20:3/20:4)	PS O-20:3/20:4	819.5414	C46H78NO9P	Glycerophospholipids	Glycerophosphoserines	O-PS
