"feature_set","factor","pval","padj","sign","view"
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE","Factor4",2.29938867557063e-05,0.0163486534833071,"negative","Phosphoproteomics"
"GOBP_MACROAUTOPHAGY","Factor5",8.54133959457142e-05,0.0303644622587014,"negative","Phosphoproteomics"
"GOBP_REGULATION_OF_MACROAUTOPHAGY","Factor5",5.54363742734411e-05,0.0303644622587014,"negative","Phosphoproteomics"
"GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","Factor6",1.83470992086485e-06,0.00130447875373491,"negative","Phosphoproteomics"
"GOBP_AEROBIC_RESPIRATION","Factor6",1.74417380337688e-05,0.00533375887160434,"negative","Phosphoproteomics"
"GOBP_OXIDATIVE_PHOSPHORYLATION","Factor6",2.25053116945331e-05,0.00533375887160434,"negative","Phosphoproteomics"
"GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","Factor6",3.09167458662281e-05,0.00549545157772205,"negative","Phosphoproteomics"
"GOBP_CELLULAR_RESPIRATION","Factor6",5.2959701068126e-05,0.00627572457657293,"negative","Phosphoproteomics"
"GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS","Factor6",4.82726879283445e-05,0.00627572457657293,"negative","Phosphoproteomics"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","Factor6",7.60837294762456e-05,0.00772793309394438,"negative","Phosphoproteomics"
"GOCC_OXIDOREDUCTASE_COMPLEX","Factor6",0.000124554478037659,0.011069779235597,"negative","Phosphoproteomics"
"GOBP_ATP_BIOSYNTHETIC_PROCESS","Factor6",0.000179412376420248,0.011709069361071,"negative","Phosphoproteomics"
"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS","Factor6",0.000189463788406252,0.011709069361071,"negative","Phosphoproteomics"
"GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS","Factor6",0.000179412376420248,0.011709069361071,"negative","Phosphoproteomics"
"GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS","Factor6",0.000197621423815545,0.011709069361071,"negative","Phosphoproteomics"
"GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS","Factor6",0.000290608687351038,0.0158940597466606,"negative","Phosphoproteomics"
"GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS","Factor6",0.000505188622268068,0.0239459406955064,"negative","Phosphoproteomics"
"GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS","Factor6",0.000487350691785065,0.0239459406955064,"negative","Phosphoproteomics"
"GOMF_ELECTRON_TRANSFER_ACTIVITY","Factor6",0.00108613297479063,0.0482650340672587,"negative","Phosphoproteomics"
"GOBP_AEROBIC_RESPIRATION","Factor7",5.25691959953324e-05,0.0186883491763407,"positive","Phosphoproteomics"
"GOBP_CELLULAR_RESPIRATION","Factor7",2.80724561730252e-05,0.0186883491763407,"positive","Phosphoproteomics"
"GOBP_NCRNA_PROCESSING","Factor7",8.33150382605012e-05,0.0197456640677388,"positive","Phosphoproteomics"
"GOBP_OXIDATIVE_PHOSPHORYLATION","Factor7",0.00012622339866898,0.0224362091134112,"positive","Phosphoproteomics"
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","Factor7",0.000212371707019358,0.0301992567381527,"positive","Phosphoproteomics"
"GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX","Factor7",0.00026739219224308,0.031685974780805,"positive","Phosphoproteomics"
"GOCC_TRANSPORTER_COMPLEX","Factor7",0.000402425098778286,0.0382146354915461,"positive","Phosphoproteomics"
"GOMF_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","Factor7",0.000429981833941447,0.0382146354915461,"positive","Phosphoproteomics"
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS","Factor8",3.74696838312605e-05,0.0266409452040262,"positive","Phosphoproteomics"
"GOCC_AXON","Factor8",3.88776972462383e-05,0.0276420427420754,"negative","Phosphoproteomics"
"GOMF_MRNA_BINDING","Factor8",8.83014371755781e-05,0.031391160915918,"positive","Phosphoproteomics"
"GOBP_REGULATION_OF_IMMUNE_RESPONSE","Factor8",0.000173587326123847,0.0411401962913518,"positive","Phosphoproteomics"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE","Factor8",0.000397005373239869,0.045252999770774,"positive","Phosphoproteomics"
"GOBP_INNATE_IMMUNE_RESPONSE","Factor8",0.000445528830373302,0.045252999770774,"positive","Phosphoproteomics"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","Factor8",0.00041492632092213,0.045252999770774,"positive","Phosphoproteomics"
"GOBP_REGULATION_OF_HEMOPOIESIS","Factor8",0.000402019290597894,0.045252999770774,"positive","Phosphoproteomics"
