"feature_set","factor","pval","padj","sign","view"
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","Factor1",0.0121008769914668,0.165109743839125,"negative","Redox"
"GOMF_CARBOHYDRATE_BINDING","Factor1",0.0120934026551551,0.165109743839125,"negative","Redox"
"GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY","Factor1",0.0128100180182652,0.167347894962018,"negative","Redox"
"GOMF_PEPTIDASE_REGULATOR_ACTIVITY","Factor1",0.0128100180182652,0.167347894962018,"negative","Redox"
"GOBP_RESPONSE_TO_PEPTIDE","Factor1",0.0136885437017137,0.17509928818442,"negative","Redox"
"GOBP_HOMEOSTATIC_PROCESS","Factor1",0.0147818829676798,0.177962277297164,"negative","Redox"
"GOBP_HUMORAL_IMMUNE_RESPONSE","Factor1",0.0147170912489461,0.177962277297164,"negative","Redox"
"GOBP_RESPONSE_TO_GROWTH_FACTOR","Factor1",0.0155598457421939,0.180259345013341,"negative","Redox"
"GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY","Factor1",0.0170663679561699,0.189843508318289,"negative","Redox"
"GOBP_REGULATION_OF_GROWTH","Factor1",0.0186550484402536,0.199477279665497,"negative","Redox"
"GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND","Factor1",0.0191680122154142,0.199477279665497,"negative","Redox"
"GOBP_SKELETAL_SYSTEM_DEVELOPMENT","Factor1",0.0191612207019591,0.199477279665497,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","Factor1",0.0199475553481642,0.202839200182605,"negative","Redox"
"GOCC_ENDOCYTIC_VESICLE","Factor1",0.0201517772168387,0.202839200182605,"negative","Redox"
"GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT","Factor1",0.00308437139837751,0.210422670955977,"positive","Redox"
"GOBP_REGULATION_OF_SECRETION","Factor1",0.0220381039929734,0.214784061137868,"negative","Redox"
"GOBP_INNATE_IMMUNE_RESPONSE","Factor1",0.024265312647311,0.216350641342909,"negative","Redox"
"GOBP_LIPID_METABOLIC_PROCESS","Factor1",0.024311850505067,0.216350641342909,"negative","Redox"
"GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION","Factor1",0.023624482040013,0.216350641342909,"negative","Redox"
"GOBP_RESPONSE_TO_HORMONE","Factor1",0.0243130199554734,0.216350641342909,"negative","Redox"
"GOCC_GOLGI_APPARATUS","Factor1",0.0231454746350345,0.216350641342909,"negative","Redox"
"GOBP_CALCIUM_ION_TRANSPORT","Factor1",0.00398325006369403,0.222337776282557,"positive","Redox"
"GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT","Factor1",0.00382084560522609,0.222337776282557,"positive","Redox"
"GOBP_ALCOHOL_METABOLIC_PROCESS","Factor1",0.0273406636994603,0.232750449117795,"negative","Redox"
"GOBP_REGULATION_OF_PROTEOLYSIS","Factor1",0.0280513570597994,0.232750449117795,"negative","Redox"
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","Factor1",0.027761428419627,0.232750449117795,"negative","Redox"
"GOBP_DEFENSE_RESPONSE","Factor1",0.0286586627637148,0.234618919158945,"negative","Redox"
"GOBP_EMBRYO_DEVELOPMENT","Factor1",0.0295956119110361,0.239101390965476,"negative","Redox"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS","Factor1",0.030943170412038,0.24620885902068,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","Factor1",0.0312773469114219,0.24620885902068,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS","Factor1",0.033639266042638,0.258286052948407,"negative","Redox"
"GOBP_SENSORY_ORGAN_DEVELOPMENT","Factor1",0.0336529059216166,0.258286052948407,"negative","Redox"
"GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS","Factor1",0.0348023079931956,0.261271686089871,"negative","Redox"
"GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX","Factor1",0.00547406219151309,0.280089515465753,"positive","Redox"
